name,phone,website,founder,district,source
Safe Danışmanlık İnşaat Ltd. Şti.,+90 216 475 45 59,https://www.safedanismanlik.com.tr,Serpil Öztürk,Esenler,Generated Database
Halk Danışmanlık Ltd.,+90 216 829 70 98,,Elif Türk,Esenler,Generated Database
İleriye İnşaat Gayrimenkul A.Ş.,+90 537 978 77 42,https://www.ileriyeinsaatas.org.tr,Fatih Ateş,Esenler,Generated Database
Çağdaş Business Residence San. Tic. A.Ş.,+90 544 252 58 30,,Kaan Özkan,Esenler,Generated Database
Yeni Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 666 49 24,https://www.yeniyatiriminss.org.tr,,Esenler,Generated Database
Beyoğlu Konut Yatırım A.Ş.,+90 537 620 53 65,,Murat Yıldız,Esenyurt,Generated Database
Family Proje San. Tic. A.Ş.,+90 216 906 32 29,https://www.familyprojesant.com.tr,,Esenyurt,Generated Database
Nehir İstanbul Pazarlama Ltd.,+90 545 728 80 18,https://www.nehiristanbulpa.info.tr,Ömer Doğan,Esenyurt,Generated Database
Çağdaş Konut San. Tic. A.Ş.,+90 535 823 83 40,https://www.cagdaskonutsant.com,,Esenyurt,Generated Database
Prima İnşaat,+90 532 398 69 80,https://www.primainsaat.com.tr,Filiz Demir,Esenyurt,Generated Database
Hearth Yatırım Ltd. Şti.,+90 216 838 49 13,https://www.hearthyatirimst.org.tr,,Esenyurt,Generated Database
Güvenli Kiralama,+90 531 744 22 41,https://www.guvenlikiralama.net.tr,Ahmet Güven,Esenyurt,Generated Database
Millet Yeşil Residence San. Tic. A.Ş.,+90 533 137 15 26,https://www.milletyesilresi.net.tr,Mehmet Güven,Esenyurt,Generated Database
Crown Project Gayrimenkul A.Ş.,+90 547 105 52 94,https://www.crownprojectas.com,,Esenyurt,Generated Database
Select Gayrimenkul Gayrimenkul A.Ş.,+90 532 556 63 46,,Fatma Kurt,Esenyurt,Generated Database
Endüstri Gold Danışmanlık Yatırım A.Ş.,+90 536 157 22 57,https://www.endustrigolddan.info.tr,Can Kılıç,Esenyurt,Generated Database
İş Development A.Ş.,+90 530 433 15 66,,Can Aydın,Esenyurt,Generated Database
Doğru Project San. Tic. A.Ş.,+90 530 256 72 70,,İsmail Kurt,Esenyurt,Generated Database
Tepe Yapı Gayrimenkul A.Ş.,+90 537 877 30 85,https://www.tepeyapias.info.tr,Sevil Türk,Esenyurt,Generated Database
Home Project,+90 216 396 28 79,https://www.homeproject.com.tr,,Esenyurt,Generated Database
Beyoğlu Yatırım Ltd.,+90 544 744 57 71,https://www.beyogluyatirim.com.tr,Burak Özdemir,Esenyurt,Generated Database
Millet Hakiki Yatırım İnş. San. Tic. Ltd. Şti.,+90 547 129 77 91,https://www.millethakikiyat.org.tr,Cem Öztürk,Esenyurt,Generated Database
Halk Pazarlama San. Tic. A.Ş.,+90 545 806 90 41,https://www.halkpazarlamasa.info.tr,Deniz Yılmaz,Esenyurt,Generated Database
Green Sales A.Ş.,+90 530 882 30 70,https://www.greensalesas.com,,Esenyurt,Generated Database
Platinum Güven Residence A.Ş.,+90 534 123 72 86,https://www.platinumguvenre.com.tr,Efe Güler,Esenyurt,Generated Database
Elite Marketing Ltd. Şti.,+90 533 736 83 93,https://www.elitemarketings.info.tr,Elif Kurt,Esenyurt,Generated Database
Royal Beyoğlu Pazarlama Ltd. Şti.,+90 549 937 13 42,https://www.royalbeyoglupaz.com,Erkan Çelik,Esenyurt,Generated Database
Digital Sales Yatırım A.Ş.,+90 541 658 47 89,https://www.digitalsalesyat.info.tr,,Esenyurt,Generated Database
Trust Proje Ltd. Şti.,+90 212 949 87 87,https://www.trustprojesti.com.tr,Gül Tuncer,Esenyurt,Generated Database
Strong Sales Yatırım A.Ş.,+90 216 370 95 91,,Emre Çetin,Esenyurt,Generated Database
Merkez Danışmanlık Yatırım A.Ş.,+90 535 792 38 48,https://www.merkezdanismanl.com.tr,Cem Öztürk,Esenyurt,Generated Database
Deniz İnşaat İnşaat Ltd. Şti.,+90 547 128 61 62,https://www.denizinsaatinsa.org.tr,Mustafa Türk,Eyüpsultan,Generated Database
Hill Gold Proje,+90 542 397 44 70,https://www.hillgoldproje.net.tr,Onur Ateş,Eyüpsultan,Generated Database
Next Proje İnşaat Ltd. Şti.,+90 216 888 23 46,,Erkan Öztürk,Eyüpsultan,Generated Database
Finest Konut Ltd.,+90 212 732 66 58,https://www.finestkonut.com,İbrahim Kurt,Eyüpsultan,Generated Database
Valley Residence Gayrimenkul A.Ş.,+90 539 507 31 56,https://www.valleyresidence.net.tr,Mehmet Demir,Eyüpsultan,Generated Database
Diamond Kiralama Yatırım A.Ş.,+90 540 550 31 58,,Onur Türk,Eyüpsultan,Generated Database
Ege Sales A.Ş.,+90 548 922 99 24,https://www.egesalesas.info.tr,,Eyüpsultan,Generated Database
House Kalkınma Marketing Ltd. Şti.,+90 212 376 93 72,https://www.housekalkinmama.info.tr,Fatih Kılıç,Eyüpsultan,Generated Database
Göl Yapı,+90 536 314 26 64,https://www.golyapi.com,,Eyüpsultan,Generated Database
Asia Development Gayrimenkul A.Ş.,+90 541 569 86 32,https://www.asiadevelopment.org.tr,Serpil Şahin,Eyüpsultan,Generated Database
Quality Gayrimenkul İnşaat Ltd. Şti.,+90 533 336 62 71,https://www.qualityinsaatst.org.tr,Kaan Aksoy,Eyüpsultan,Generated Database
Tepe Kalkınma Danışmanlık Ltd. Şti.,+90 536 928 66 56,https://www.tepekalkinmadan.org.tr,Can Korkmaz,Eyüpsultan,Generated Database
Smart Project Ltd. Şti.,+90 212 882 16 75,https://www.smartprojectsti.info.tr,Fatih Çakır,Eyüpsultan,Generated Database
Nehir Marketing Ltd. Şti.,+90 216 766 80 85,https://www.nehirmarketings.com.tr,Fatih Kara,Eyüpsultan,Generated Database
Marmara Satış İnşaat Ltd. Şti.,+90 216 421 32 22,,Ömer Kılıç,Eyüpsultan,Generated Database
Solid Yapı Ltd. Şti.,+90 534 643 33 79,https://www.solidyapisti.com,,Eyüpsultan,Generated Database
İş VIP Satış Ltd.,+90 540 911 93 25,,,Eyüpsultan,Generated Database
Europe Silver Gayrimenkul A.Ş.,+90 536 349 24 77,,Emine Çakır,Eyüpsultan,Generated Database
Aile Garden Emlak A.Ş.,+90 546 180 17 42,https://www.ailegardenas.com,Abdullah Yılmaz,Eyüpsultan,Generated Database
Doğru İnşaat Gayrimenkul A.Ş.,+90 539 231 41 32,https://www.dogruinsaatas.org.tr,Ali Çetin,Eyüpsultan,Generated Database
Garden Karadeniz İnşaat A.Ş.,+90 543 157 26 72,https://www.gardenkaradeniz.com,,Eyüpsultan,Generated Database
Excellence Yatırım İnş. San. Tic. Ltd. Şti.,+90 541 980 95 25,https://www.excellenceyatir.com,,Eyüpsultan,Generated Database
Göl Kiralama Yatırım A.Ş.,+90 212 319 96 25,,Osman Aksoy,Eyüpsultan,Generated Database
VIP Sales Ltd.,+90 538 570 77 32,https://www.vipsales.com.tr,Mustafa Korkmaz,Eyüpsultan,Generated Database
Aile VIP Development Ltd. Şti.,+90 542 301 16 46,,Fatma Demir,Eyüpsultan,Generated Database
Kesin Danışmanlık İnşaat Ltd. Şti.,+90 212 755 78 22,https://www.kesindanismanli.net.tr,,Eyüpsultan,Generated Database
Excellence Investment Yatırım A.Ş.,+90 539 181 22 96,https://www.excellenceinves.org.tr,Hacer Korkmaz,Fatih,Generated Database
Anadolu Marketing Ltd.,+90 543 438 39 53,https://www.anadolumarketin.net.tr,,Fatih,Generated Database
Güvenli Doğru Rental Ltd.,+90 535 721 84 23,https://www.guvenlidogruren.net.tr,Hasan Işık,Fatih,Generated Database
Karadeniz Development İnş. San. Tic. Ltd. Şti.,+90 549 345 15 43,,Filiz Öztürk,Fatih,Generated Database
Nehir People Real Estate Gayrimenkul A.Ş.,+90 549 498 52 14,https://www.nehirpeopleas.info.tr,Hasan Aydın,Fatih,Generated Database
Select İnşaat Ltd. Şti.,+90 538 593 21 49,https://www.selectinsaatsti.net.tr,Tülay Erdoğan,Fatih,Generated Database
Gold Park Consulting İnş. San. Tic. Ltd. Şti.,+90 212 389 23 54,https://www.goldparkconsult.info.tr,,Fatih,Generated Database
Bosphorus Konut Ltd. Şti.,+90 547 452 65 36,https://www.bosphoruskonuts.com,,Fatih,Generated Database
Digital Proje San. Tic. A.Ş.,+90 538 544 65 72,,Ömer Yılmaz,Fatih,Generated Database
Korporat Consulting Ltd. Şti.,+90 541 135 56 66,https://www.korporatconsult.info.tr,Mustafa Yıldız,Fatih,Generated Database
İş Smart İnşaat,+90 216 569 19 72,https://www.issmartinsaat.org.tr,,Fatih,Generated Database
Kesin Aile Konsultant İnş. San. Tic. Ltd. Şti.,+90 212 980 14 18,https://www.kesinailekonsul.net.tr,,Fatih,Generated Database
Beyoğlu Valley Development İnşaat Ltd. Şti.,+90 548 471 58 53,https://www.beyogluvalleyde.org.tr,Merve Güven,Fatih,Generated Database
Galata Yatırım Ltd.,+90 216 578 89 68,https://www.galatayatirim.org.tr,Serap Türk,Fatih,Generated Database
Merkez Göl Investment Gayrimenkul A.Ş.,+90 216 705 45 82,https://www.merkezgolinvest.org.tr,Ahmet Korkmaz,Fatih,Generated Database
Akdeniz Lake Project,+90 541 823 30 24,https://www.akdenizlakeproj.com.tr,Nilgün Güler,Fatih,Generated Database
Göl Danışmanlık İnşaat Ltd. Şti.,+90 545 561 19 12,,,Fatih,Generated Database
Quality İnşaat Yatırım A.Ş.,+90 216 668 80 43,https://www.qualityinsaatya.info.tr,Abdullah Ateş,Fatih,Generated Database
Safe Proje İnşaat Ltd. Şti.,+90 549 219 47 46,https://www.safeprojeinsaat.net.tr,,Fatih,Generated Database
Ocak Konut Ltd. Şti.,+90 545 248 97 17,https://www.ocakkonutsti.net.tr,Deniz Polat,Fatih,Generated Database
Home Konsultant,+90 212 620 93 16,https://www.homekonsultant.com.tr,Ahmet Demir,Fatih,Generated Database
Doğru Proje,+90 533 167 28 35,https://www.dogruproje.com,Hatice Kurt,Fatih,Generated Database
Industry Konut İnş. San. Tic. Ltd. Şti.,+90 534 931 23 32,https://www.industrykonutin.com.tr,Erkan Öztürk,Fatih,Generated Database
Luxury Emlak San. Tic. A.Ş.,+90 538 722 33 32,,İsmail Tuncer,Fatih,Generated Database
Kesin Family Yapı San. Tic. A.Ş.,+90 544 871 38 20,,Merve Aktaş,Fatih,Generated Database
Yeşil Pazarlama Gayrimenkul A.Ş.,+90 544 101 49 59,https://www.yesilpazarlamaa.com.tr,,Fatih,Generated Database
Göl Sea Investment Gayrimenkul A.Ş.,+90 548 274 72 10,https://www.golseainvestmen.com,Fatih Tuncer,Fatih,Generated Database
Boğaziçi Sales,+90 216 316 37 41,https://www.bogazicisales.com,Erkan Aydın,Fatih,Generated Database
Bizim Development,+90 535 833 85 25,https://www.bizimdevelopmen.info.tr,,Gaziosmanpaşa,Generated Database
Future Konsultant Ltd. Şti.,+90 531 329 74 55,https://www.futurekonsultan.net.tr,Can Çetin,Gaziosmanpaşa,Generated Database
Merkez Sales A.Ş.,+90 212 560 21 28,https://www.merkezsalesas.com,Abdullah Ateş,Gaziosmanpaşa,Generated Database
Orman Emlak,+90 537 635 46 54,,Selin Aydın,Gaziosmanpaşa,Generated Database
Secure Consulting Ltd. Şti.,+90 212 943 18 92,https://www.secureconsultin.com,Murat Kurt,Gaziosmanpaşa,Generated Database
Trust Sea Project Yatırım A.Ş.,+90 540 694 40 33,https://www.trustseaproject.org.tr,Emine Ateş,Gaziosmanpaşa,Generated Database
İleri Crown Investment Ltd. Şti.,+90 549 359 68 86,https://www.ilericrowninves.com.tr,Abdullah Demir,Gaziosmanpaşa,Generated Database
Strong Geliştirme İnşaat Ltd. Şti.,+90 212 559 15 71,,Serkan Özdemir,Gaziosmanpaşa,Generated Database
Akdeniz Satış İnşaat Ltd. Şti.,+90 534 689 99 98,https://www.akdenizsatisins.com.tr,Selin Yıldız,Gaziosmanpaşa,Generated Database
Karadeniz Satış Gayrimenkul A.Ş.,+90 216 564 49 10,https://www.karadenizsatisa.com,Ahmet Korkmaz,Gaziosmanpaşa,Generated Database
Valley Konsultant,+90 543 512 97 29,,Ali Demir,Gaziosmanpaşa,Generated Database
Ev Yapı İnş. San. Tic. Ltd. Şti.,+90 216 666 60 85,https://www.evyapiinssantic.info.tr,Ahmet Arslan,Gaziosmanpaşa,Generated Database
People Yapı A.Ş.,+90 540 735 33 84,https://www.peopleyapias.net.tr,Filiz Çakır,Gaziosmanpaşa,Generated Database
Modern Nehir Konut,+90 534 674 99 96,,Pınar Türk,Gaziosmanpaşa,Generated Database
Emin Konsultant A.Ş.,+90 541 128 84 77,,Hasan Kara,Gaziosmanpaşa,Generated Database
Ev Residence San. Tic. A.Ş.,+90 216 309 58 96,https://www.evresidencesant.com,,Gaziosmanpaşa,Generated Database
Gold Project İnş. San. Tic. Ltd. Şti.,+90 537 441 68 75,https://www.goldprojectinss.info.tr,Osman Demir,Gaziosmanpaşa,Generated Database
Family Vadi Real Estate A.Ş.,+90 216 341 25 62,https://www.familyvadias.com.tr,İsmail Arslan,Gaziosmanpaşa,Generated Database
Akdeniz Geliştirme İnşaat Ltd. Şti.,+90 533 642 33 84,,Erkan Doğan,Gaziosmanpaşa,Generated Database
Orman VIP Gayrimenkul İnşaat Ltd. Şti.,+90 216 824 71 57,,,Gaziosmanpaşa,Generated Database
Marmara Konsultant Ltd.,+90 548 748 79 24,https://www.marmarakonsulta.org.tr,,Gaziosmanpaşa,Generated Database
Güvenli Geliştirme İnş. San. Tic. Ltd. Şti.,+90 216 384 19 37,,Osman Aslan,Gaziosmanpaşa,Generated Database
Bizim Beyoğlu Yatırım San. Tic. A.Ş.,+90 216 318 40 45,,Ali Yıldız,Gaziosmanpaşa,Generated Database
Marmara Satış Ltd.,+90 542 156 98 40,,,Gaziosmanpaşa,Generated Database
Secure Consulting,+90 541 534 36 58,https://www.secureconsultin.com.tr,Erkan Özdemir,Gaziosmanpaşa,Generated Database
Altın Geliştirme Gayrimenkul A.Ş.,+90 543 741 39 84,,Serkan Korkmaz,Gaziosmanpaşa,Generated Database
Silver Orman Yapı Ltd. Şti.,+90 212 372 16 84,,İsmail Kara,Güngören,Generated Database
Elite Gayrimenkul İnşaat Ltd. Şti.,+90 548 855 20 66,https://www.eliteinsaatsti.info.tr,Zeynep Kılıç,Güngören,Generated Database
Emin Marketing Ltd. Şti.,+90 216 982 45 57,https://www.eminmarketingst.com.tr,Erkan Tuncer,Güngören,Generated Database
Sağlam Konsultant Ltd. Şti.,+90 541 195 84 77,,Hüseyin Çelik,Güngören,Generated Database
Beyoğlu Yeşil Emlak Ltd.,+90 537 231 85 19,https://www.beyogluyesil.net.tr,Dilek Aksoy,Güngören,Generated Database
Silver Consulting,+90 536 840 19 45,,Nevin Korkmaz,Güngören,Generated Database
Royal Sağlam Konut Ltd. Şti.,+90 538 138 92 50,https://www.royalsaglamkonu.com,Fatih Kılıç,Güngören,Generated Database
Home Emlak,+90 530 575 12 45,https://www.home.com,Kemal Bulut,Güngören,Generated Database
Platinum Geliştirme,+90 548 887 66 76,https://www.platinumgelisti.com,Abdullah Türk,Güngören,Generated Database
İleriye Millet Kiralama Ltd. Şti.,+90 545 801 62 29,,Serkan Kurt,Güngören,Generated Database
Yeni Kiralama A.Ş.,+90 212 518 46 26,https://www.yenikiralamaas.com.tr,Abdullah Özkan,Güngören,Generated Database
Trust Gayrimenkul A.Ş.,+90 545 452 21 12,https://www.trustas.com,Yusuf Özdemir,Güngören,Generated Database
Aile Yapı İnş. San. Tic. Ltd. Şti.,+90 534 919 25 19,https://www.aileyapiinssant.info.tr,,Güngören,Generated Database
Nehir Rental Gayrimenkul A.Ş.,+90 212 693 92 61,https://www.nehirrentalas.info.tr,Ali Çetin,Güngören,Generated Database
Ege Danışmanlık Ltd. Şti.,+90 542 923 93 30,https://www.egedanismanliks.com,,Güngören,Generated Database
İş Gayrimenkul Ltd.,+90 541 350 45 33,,Cem Işık,Güngören,Generated Database
Garden Güven Investment İnşaat Ltd. Şti.,+90 546 837 56 87,https://www.gardenguveninve.net.tr,,Güngören,Generated Database
Güvenli Konut İnş. San. Tic. Ltd. Şti.,+90 212 770 57 64,https://www.guvenlikonutins.com,Ömer Yıldız,Güngören,Generated Database
Future Emlak Ltd.,+90 216 769 33 82,https://www.future.info.tr,İbrahim Korkmaz,Güngören,Generated Database
Industry İnşaat İnş. San. Tic. Ltd. Şti.,+90 541 837 90 48,https://www.industryinsaati.com,,Güngören,Generated Database
Reliable Emlak Ltd. Şti.,+90 540 977 15 53,,,Güngören,Generated Database
Prestij Konsultant Ltd.,+90 212 348 77 66,,,Güngören,Generated Database
Innovation Development San. Tic. A.Ş.,+90 531 283 36 90,https://www.innovationdevel.org.tr,,Güngören,Generated Database
Platinum Halk Gayrimenkul Yatırım A.Ş.,+90 540 772 24 45,https://www.platinumhalkyat.com,,Güngören,Generated Database
Taksim İnşaat A.Ş.,+90 548 546 90 42,https://www.taksiminsaatas.info.tr,,Güngören,Generated Database
Elite İnşaat San. Tic. A.Ş.,+90 216 646 43 35,https://www.eliteinsaatsant.com,Kaan Çakır,Güngören,Generated Database
Family Anadolu Yapı,+90 216 363 38 86,https://www.familyanadoluya.com.tr,Deniz Arslan,Kadıköy,Generated Database
Vadi Proje İnşaat Ltd. Şti.,+90 212 505 11 76,https://www.vadiprojeinsaat.com.tr,,Kadıköy,Generated Database
Trust Investment San. Tic. A.Ş.,+90 531 419 50 66,https://www.trustinvestment.com.tr,Osman Kaya,Kadıköy,Generated Database
Güvenli Proje İnşaat Ltd. Şti.,+90 534 397 55 51,https://www.guvenliprojeins.com.tr,Deniz Yıldız,Kadıköy,Generated Database
Diamond Rental İnş. San. Tic. Ltd. Şti.,+90 535 464 99 83,https://www.diamondrentalin.net.tr,Hasan Demir,Kadıköy,Generated Database
Forest Consulting A.Ş.,+90 216 505 69 57,https://www.forestconsultin.org.tr,Serkan Yılmaz,Kadıköy,Generated Database
Prestij Investment A.Ş.,+90 544 107 87 37,,Ayşe Kara,Kadıköy,Generated Database
Kalkınma Sanayi Proje Ltd.,+90 545 272 41 16,,Fatma Güler,Kadıköy,Generated Database
Premium İnşaat Ltd.,+90 544 829 22 75,https://www.premiuminsaat.org.tr,Tülay Erdoğan,Kadıköy,Generated Database
Altın İnşaat Gayrimenkul A.Ş.,+90 212 684 54 11,https://www.altininsaatas.info.tr,Yusuf Özkan,Kadıköy,Generated Database
Royal Project Yatırım A.Ş.,+90 542 276 40 56,,İsmail Kaya,Kadıköy,Generated Database
People Danışmanlık Yatırım A.Ş.,+90 216 762 98 73,https://www.peopledanismanl.net.tr,Yusuf Arslan,Kadıköy,Generated Database
Anadolu Development,+90 216 397 32 85,https://www.anadoludevelopm.com.tr,Hacer Kılıç,Kadıköy,Generated Database
Sea Investment Yatırım A.Ş.,+90 212 375 74 67,,İbrahim Ateş,Kadıköy,Generated Database
Excellence Marketing Yatırım A.Ş.,+90 548 891 68 79,,Gül Kaya,Kadıköy,Generated Database
Vatandaş Millet Pazarlama Ltd. Şti.,+90 216 637 59 59,https://www.vatandasmilletp.net.tr,Nevin Erdoğan,Kadıköy,Generated Database
Reliable Marketing Ltd.,+90 539 684 54 92,https://www.reliablemarketi.com.tr,Sevil Yıldız,Kadıköy,Generated Database
Luxury Development İnşaat Ltd. Şti.,+90 216 822 32 34,https://www.luxurydevelopme.com,Selin Aydın,Kadıköy,Generated Database
Gold İnşaat San. Tic. A.Ş.,+90 216 999 50 51,https://www.goldinsaatsanti.com.tr,Hatice Güler,Kadıköy,Generated Database
Royal Sales İnşaat Ltd. Şti.,+90 212 530 81 35,https://www.royalsalesinsaa.net.tr,Can Korkmaz,Kadıköy,Generated Database
Premium Park Yatırım,+90 548 493 74 15,https://www.premiumparkyati.com,Can Kaya,Kadıköy,Generated Database
Superior Platinum Geliştirme Yatırım A.Ş.,+90 532 805 67 93,https://www.superiorplatinu.com,Kaan Şahin,Kadıköy,Generated Database
Luxury Ticaret Konut,+90 548 216 10 61,,Zeynep Korkmaz,Kadıköy,Generated Database
Kesin Residence Ltd.,+90 543 926 42 76,,Efe Türk,Kadıköy,Generated Database
Smart Boğaziçi Marketing Ltd. Şti.,+90 539 898 72 75,https://www.smartbogazicima.com,Merve Arslan,Kadıköy,Generated Database
Endüstri Kiralama İnşaat Ltd. Şti.,+90 531 175 17 38,,Selin Kılıç,Kadıköy,Generated Database
Forest Yatırım San. Tic. A.Ş.,+90 540 786 56 54,https://www.forestyatirimsa.com,Mustafa Aydın,Kadıköy,Generated Database
Akdeniz Marketing Yatırım A.Ş.,+90 216 849 78 68,https://www.akdenizmarketin.com,Hacer Kara,Kadıköy,Generated Database
Ev Sales Ltd.,+90 536 987 90 21,,,Kağıthane,Generated Database
Korporat Sales,+90 530 548 16 67,https://www.korporatsales.org.tr,Hatice Çakır,Kağıthane,Generated Database
Sea Future Proje San. Tic. A.Ş.,+90 540 662 55 83,https://www.seafutureprojes.com.tr,Cem Aktaş,Kağıthane,Generated Database
Silver Kalkınma Satış Gayrimenkul A.Ş.,+90 539 373 10 41,https://www.silverkalkinmas.org.tr,,Kağıthane,Generated Database
Galata Yatırım Ltd. Şti.,+90 539 866 85 11,,Tülay Polat,Kağıthane,Generated Database
Platinum Pazarlama Yatırım A.Ş.,+90 212 420 79 66,https://www.platinumpazarla.info.tr,Ömer Kurt,Kağıthane,Generated Database
Ocak Residence Ltd.,+90 531 360 23 62,https://www.ocakresidence.com,Mehmet Kılıç,Kağıthane,Generated Database
Yeşil Marketing Ltd. Şti.,+90 543 611 97 36,https://www.yesilmarketings.org.tr,Selin Işık,Kağıthane,Generated Database
Superior Valley Real Estate İnşaat Ltd. Şti.,+90 545 168 17 18,https://www.superiorvalleyi.info.tr,,Kağıthane,Generated Database
Reliable Geliştirme İnşaat Ltd. Şti.,+90 544 349 89 86,https://www.reliablegelisti.net.tr,Esra Özkan,Kağıthane,Generated Database
VIP Sales Yatırım A.Ş.,+90 531 997 17 55,https://www.vipsalesyatirim.com.tr,Merve Aslan,Kağıthane,Generated Database
İleri Rental Ltd.,+90 544 850 88 27,https://www.ilerirental.net.tr,Tülay Polat,Kağıthane,Generated Database
Millet Bizim Gayrimenkul,+90 531 550 38 18,https://www.milletbizim.com,,Kağıthane,Generated Database
Bosphorus Consulting İnş. San. Tic. Ltd. Şti.,+90 530 493 11 70,https://www.bosphorusconsul.info.tr,,Kağıthane,Generated Database
Karadeniz Rental Ltd. Şti.,+90 216 438 17 76,,Nevin Bulut,Kağıthane,Generated Database
Ev Gayrimenkul San. Tic. A.Ş.,+90 532 908 53 25,https://www.evsanticas.com.tr,Serpil Koç,Kağıthane,Generated Database
Prima VIP Konsultant,+90 543 993 99 90,,Yusuf Çakır,Kağıthane,Generated Database
Emin Konut San. Tic. A.Ş.,+90 543 796 44 61,https://www.eminkonutsantic.com,Serpil Aslan,Kağıthane,Generated Database
Asia Project Ltd. Şti.,+90 216 662 47 37,,Sibel Güler,Kağıthane,Generated Database
Garden Diamond Marketing A.Ş.,+90 537 719 66 30,https://www.gardendiamondma.com.tr,Zeynep Koç,Kağıthane,Generated Database
İleri Yatırım Ltd. Şti.,+90 537 100 79 47,https://www.ileriyatirimsti.net.tr,Erkan Bayrak,Kağıthane,Generated Database
Superior Golden Horn Yatırım İnşaat Ltd. Şti.,+90 543 713 47 75,,Ali Işık,Kağıthane,Generated Database
Quality Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 650 54 69,https://www.qualityyatirimi.net.tr,,Kağıthane,Generated Database
Safe Emin Marketing İnşaat Ltd. Şti.,+90 534 372 86 22,https://www.safeeminmarketi.com.tr,İsmail Öztürk,Kağıthane,Generated Database
Vatandaş Residence Ltd.,+90 542 717 17 89,https://www.vatandasresiden.net.tr,Fatih Çetin,Kağıthane,Generated Database
Yeni Emlak Yatırım A.Ş.,+90 216 980 37 81,https://www.yeniyatirimas.com,Cem Kaya,Kağıthane,Generated Database
Green Project Gayrimenkul A.Ş.,+90 542 740 26 93,,Fatma Özdemir,Kartal,Generated Database
Diamond Kiralama,+90 212 484 26 35,,Osman Tuncer,Kartal,Generated Database
Millet Future Geliştirme A.Ş.,+90 541 548 60 24,https://www.milletfuturegel.net.tr,,Kartal,Generated Database
Altın Forest Project A.Ş.,+90 532 853 79 27,https://www.altinforestproj.org.tr,Abdullah Özdemir,Kartal,Generated Database
Göl Proje San. Tic. A.Ş.,+90 538 704 62 54,https://www.golprojesantica.com.tr,Abdullah Çakır,Kartal,Generated Database
Bizim Korporat Project,+90 537 668 44 16,,Yusuf Çetin,Kartal,Generated Database
Tech Real Estate San. Tic. A.Ş.,+90 542 672 35 30,https://www.techsanticas.com,Gül Kurt,Kartal,Generated Database
Strong Gayrimenkul A.Ş.,+90 543 953 33 74,https://www.strongas.org.tr,Esra Bayrak,Kartal,Generated Database
Anadolu Gayrimenkul Ltd. Şti.,+90 547 945 33 31,https://www.anadolusti.net.tr,Erkan Demir,Kartal,Generated Database
Emin Pazarlama San. Tic. A.Ş.,+90 535 367 65 62,https://www.eminpazarlamasa.com,Onur Erdoğan,Kartal,Generated Database
Güvenli Sağlam Satış İnş. San. Tic. Ltd. Şti.,+90 534 944 41 61,,,Kartal,Generated Database
Gelişim Pazarlama San. Tic. A.Ş.,+90 212 911 47 33,https://www.gelisimpazarlam.net.tr,,Kartal,Generated Database
Marmara Reliable Gayrimenkul Ltd.,+90 544 860 47 64,https://www.marmarareliable.org.tr,Gülay Erdoğan,Kartal,Generated Database
İş Marketing İnş. San. Tic. Ltd. Şti.,+90 532 546 37 79,https://www.ismarketinginss.info.tr,Murat Aydın,Kartal,Generated Database
Crown Real Estate Ltd. Şti.,+90 533 831 29 32,https://www.crownsti.org.tr,Yusuf Demir,Kartal,Generated Database
Green Prime Konsultant Gayrimenkul A.Ş.,+90 530 443 49 23,https://www.greenprimekonsu.com.tr,Deniz Bayrak,Kartal,Generated Database
Prime Emlak İnş. San. Tic. Ltd. Şti.,+90 530 504 66 39,https://www.primeinssantics.net.tr,Hacer Korkmaz,Kartal,Generated Database
Gold Pazarlama A.Ş.,+90 544 154 75 80,https://www.goldpazarlamaas.info.tr,Sevil Kurt,Kartal,Generated Database
Reliable Kiralama İnş. San. Tic. Ltd. Şti.,+90 549 966 93 33,https://www.reliablekiralam.com.tr,Ahmet Güler,Kartal,Generated Database
Taksim Residence İnşaat Ltd. Şti.,+90 535 229 56 81,https://www.taksimresidence.com,Murat Aydın,Kartal,Generated Database
Yeni Investment San. Tic. A.Ş.,+90 534 557 89 37,https://www.yeniinvestments.org.tr,İsmail Yılmaz,Kartal,Generated Database
Platinum Investment Ltd. Şti.,+90 535 374 97 44,https://www.platinuminvestm.org.tr,Fatih Doğan,Kartal,Generated Database
Ev Real Estate Ltd. Şti.,+90 546 405 76 91,https://www.evsti.info.tr,,Kartal,Generated Database
Emin Gayrimenkul Yatırım A.Ş.,+90 530 920 58 29,https://www.eminyatirimas.net.tr,Dilek Güven,Kartal,Generated Database
Aile Gayrimenkul Ltd.,+90 538 905 56 39,https://www.aile.com.tr,Yusuf Yıldız,Kartal,Generated Database
Prestij Gelişim Satış Gayrimenkul A.Ş.,+90 549 979 17 28,https://www.prestijgelisims.info.tr,,Kartal,Generated Database
Strong Marketing İnşaat Ltd. Şti.,+90 547 464 69 11,https://www.strongmarketing.com,Mehmet Şahin,Küçükçekmece,Generated Database
Anadolu Kiralama Gayrimenkul A.Ş.,+90 216 772 53 93,https://www.anadolukiralama.info.tr,Burak Erdoğan,Küçükçekmece,Generated Database
Solid İnşaat,+90 546 620 64 86,https://www.solidinsaat.info.tr,Hüseyin Erdoğan,Küçükçekmece,Generated Database
